4.00000000000000000000     9.00000000000000000000     6.00000000000000000000
6189676.00000000000000000000     19079188347.00000000000000000000     25900777026.00000000000000000000
-564735697794019750000000000000000000000000000000.00000000000000000000     22488505564673945000000000000000000000000000000000000000000000000000000000000.00000000000000000000     30529117872510861000000000000000000000000000000000000000000000000000000000000.00000000000000000000
-1.#INF0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
-1.#IND0000000000000000     -1.#IND0000000000000000     -1.#IND0000000000000000
